"","spp.abb","AphiaID","AphiaID_acc","Species","Genus","Family","Order","Class","Phylum","Body_Size.value","MovementMethod-burrower","MovementMethod-crawler","MovementMethod-floater","MovementMethod-motile","MovementMethod-permanent_attachment","MovementMethod-sessile","MovementMethod-swimmer","MovementMethod-temporary_attachment","MovementMethod-tube-dwelling","Feeding_Method-browser","Feeding_Method-deposit_feeder","Feeding_Method-filter_feeder","Feeding_Method-grazer","Feeding_Method-predator","Feeding_Method-scavenger","Feeding_Method-suspension_feeder","Sociability-colonial","Sociability-gregarious","Sociability-solitary","Sociability-sometimes_gregarious","Lifespan","Migration-irregular/single_migration","Migration-non-migratory","Migration-regular","Habitat-demersal","Habitat-epifaunal","Habitat-infaunal","Diet-benthic_organisms","Diet-detritus","Diet-macroalgae","Diet-micro-organisms","Diet-omnivore","Diet-plankton","Diet-sediment_particles","Diet-suspended_particles/material","Reproductive_Frequency-annual","Reproductive_Frequency-biannual","Reproductive_Frequency-semelparous","Larval_Feeding_Strategy-lecithotrophic","Larval_Feeding_Strategy-planktotrophic","Reproductive_Period-episodic","Reproductive_Period-protracted","Developmental_Mechanism-benthic_larval_development","Developmental_Mechanism-direct_development","Developmental_Mechanism-fission","Developmental_Mechanism-larval_development","Developmental_Mechanism-oviparous","Developmental_Mechanism-pelagic_larval_development","Reproductive_Timing-1","Reproductive_Timing-2","Reproductive_Timing-3","Reproductive_Timing-4","Reproductive_Timing-5","Reproductive_Timing-6","Reproductive_Timing-7","Reproductive_Timing-8","Reproductive_Timing-9","Reproductive_Timing-10","Reproductive_Timing-11","Reproductive_Timing-12","Age_at_Maturity.value","Larval_Duration.value","Fecundity.value","Size_of_Eggs.value"
"Abietinaria abietina","Abta",117870,117870,"Abietinaria abietina","Abietinaria","Sertulariidae","Leptothecata","Hydrozoa","Cnidaria",300,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA
"Abra alba","Abra",141433,141433,"Abra alba","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,NA,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,1700,60
"Abra nitida","Abrn",141435,141435,"Abra nitida","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abra prismatica","Abrp",141436,141436,"Abra prismatica","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",1.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abra tenuis","Abrt",141439,141439,"Abra tenuis","Abra","Semelidae","Veneroida","Bivalvia","Mollusca",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,NA,1600,140
"Acanthocardia echinata","Acne",138992,138992,"Acanthocardia echinata","Acanthocardia","Cardiidae","Veneroida","Bivalvia","Mollusca",7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15.5,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinauge richardi","Actr",100930,100930,"Actinauge richardi","Actinauge","Hormathiidae","Actiniaria","Anthozoa","Cnidaria",15.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,NA,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adamsia carciniopados","Admc",100931,100931,"Adamsia carciniopados","Adamsia","Hormathiidae","Actiniaria","Anthozoa","Cnidaria",50,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,8,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA
"Alcyonium digitatum","Alcd",125333,125333,"Alcyonium digitatum","Alcyonium","Alcyoniidae","Alcyonacea","Anthozoa","Cnidaria",200,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,1,NA,10,1e+05,500
"Ampelisca brevicornis","Ampb",101891,101891,"Ampelisca brevicornis","Ampelisca","Ampeliscidae","Amphipoda","Malacostraca","Arthropoda",1.2,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1.5,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,70,NA
"Ampelisca diadema","Ampld",101896,101896,"Ampelisca diadema","Ampelisca","Ampeliscidae","Amphipoda","Malacostraca","Arthropoda",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA
"Ampelisca spinipes","Ampls",101928,101928,"Ampelisca spinipes","Ampelisca","Ampeliscidae","Amphipoda","Malacostraca","Arthropoda",1.5,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1.5,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,NA,NA,58,NA
"Ampelisca tenuicornis","Ampt",101930,101930,"Ampelisca tenuicornis","Ampelisca","Ampeliscidae","Amphipoda","Malacostraca","Arthropoda",0.8,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,NA,0,0,1,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,0,NA,NA,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA
"Ampharete falcata","Amphrtf",129777,129777,"Ampharete falcata","Ampharete","Ampharetidae","Terebellida","Polychaeta","Annelida",1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,NA,NA,NA
"Amphianthus dohrnii","Amphd",100936,100936,"Amphianthus dohrnii","Amphianthus","Hormathiidae","Actiniaria","Anthozoa","Cnidaria",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,60.5,0,1,0,0,0,1,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amphipholis squamata","Amphs",125064,125064,"Amphipholis squamata","Amphipholis","Amphiuridae","Ophiurida","Ophiuroidea","Echinodermata",0.5,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,4,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,100,150
"Amphiura chiajei","Ampc",125073,125073,"Amphiura chiajei","Amphiura","Amphiuridae","Ophiurida","Ophiuroidea","Echinodermata",1.1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,0,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,0,4,NA,NA,NA
"Amphiura filiformis","Amphrfl",125080,125080,"Amphiura filiformis","Amphiura","Amphiuridae","Ophiurida","Ophiuroidea","Echinodermata",1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,15.5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,0,0,4,180,50000,NA
"Anapagurus laevis","Anpl",107218,107218,"Anapagurus laevis","Anapagurus","Paguridae","Decapoda","Malacostraca","Arthropoda",7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA
"Anoplodactylus petiolatus","Anpp",134723,134723,"Anoplodactylus petiolatus","Anoplodactylus","Phoxichilidiidae","Pantopoda","Pycnogonida","Arthropoda",0.9,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antedon bifida","Antb",124201,124201,"Antedon bifida","Antedon","Antedonidae","Comatulida","Crinoidea","Echinodermata",100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,10,NA,NA
"Aonides paucibranchiata","Andp",131107,131107,"Aonides paucibranchiata","Aonides","Spionidae","Spionida","Polychaeta","Annelida",10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aphelochaeta marioni","Aphm",129938,129938,"Aphelochaeta marioni","Aphelochaeta","Cirratulidae","Terebellida","Polychaeta","Annelida",6.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,1,NA,540,NA
"Aphrodita aculeata","Apha",129840,129840,"Aphrodita aculeata","Aphrodita","Aphroditidae","Phyllodocida","Polychaeta","Annelida",20,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,NA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,NA,NA,NA,NA
"Aporrhais pespelecani","Aprp",138760,138760,"Aporrhais pespelecani","Aporrhais","Aporrhaidae","Littorinimorpha","Gastropoda","Mollusca",4.2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA
"Aporrhais serresianus","Aprs",138761,138761,"Aporrhais serresianus","Aporrhais","Aporrhaidae","Littorinimorpha","Gastropoda","Mollusca",38,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,60,NA,NA
"Arctica islandica","Arci",138802,138802,"Arctica islandica","Arctica","Arcticidae","Veneroida","Bivalvia","Mollusca",12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,NA,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,12.5,NA,NA,95
"Arenicola marina","Arnm",129868,129868,"Arenicola marina","Arenicola","Arenicolidae","Capitellida","Polychaeta","Annelida",200,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,1,1,1.5,NA,NA,NA
"Astarte sulcata","Asts",138824,138824,"Astarte sulcata","Astarte","Astartidae","Carditoida","Bivalvia","Mollusca",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA
"Asterias rubens","Astr",123776,123776,"Asterias rubens","Asterias","Asteriidae","Forcipulatida","Asteroidea","Echinodermata",520,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,0,0,0,0,0,1,NA,2500000,NA
"Asterina gibbosa","Astg",123987,123987,"Asterina gibbosa","Asterina","Asterinidae","Valvatida","Asteroidea","Echinodermata",50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,1.5,NA,1000,NA
"Axinella dissimilis","Axnd",132473,132473,"Axinella dissimilis","Axinella","Axinellidae","Halichondrida","Demospongiae","Porifera",15.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azorinus chamasolen","Azrc",141541,141541,"Azorinus chamasolen","Azorinus","Solecurtidae","Veneroida","Bivalvia","Mollusca",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bathyporeia elegans","Bthe",103058,103058,"Bathyporeia elegans","Bathyporeia","Bathyporeiidae","Amphipoda","Malacostraca","Arthropoda",0.5,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,1,0,0,NA,NA,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,7,NA
"Bathyporeia guilliamsoniana","Bthg",103060,103060,"Bathyporeia guilliamsoniana","Bathyporeia","Bathyporeiidae","Amphipoda","Malacostraca","Arthropoda",0.8,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bolocera tuediae","Blct",100817,100817,"Bolocera tuediae","Bolocera","Actiniidae","Actiniaria","Anthozoa","Cnidaria",35.5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,15.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,4,30,NA,NA
"Botryllus schlosseri","Btrs",103862,103862,"Botryllus schlosseri","Botryllus","Styelidae","Stolidobranchia","Ascidiacea","Chordata",0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,NA
"Branchiostoma lanceolatum","Brnl",104906,104906,"Branchiostoma lanceolatum","Branchiostoma","Branchiostomatidae","Leptocardii","Leptocardii","Chordata",6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brissopsis lyrifera","Brsl",124373,124373,"Brissopsis lyrifera","Brissopsis","Brissidae","Spatangoida","Echinoidea","Echinodermata",7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,0,4,NA,1e+06,NA
"Buccinum undatum","Bccu",138878,138878,"Buccinum undatum","Buccinum","Buccinidae","Neogastropoda","Gastropoda","Mollusca",11,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,15.5,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,NA,NA,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,8,NA,20000,250
"Bugula turbinata","Bglt",111166,111166,"Bugula turbinata","Bugula","Bugulidae","Cheilostomatida","Gymnolaemata","Bryozoa",60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,0,1,1,NA,NA
"Callianassa subterranea","Clls",107729,107729,"Callianassa subterranea","Callianassa","Callianassidae","Decapoda","Malacostraca","Arthropoda",4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,60,NA,NA
"Calocaris macandreae","Clcm",107726,107726,"Calocaris macandreae","Calocaris","Axiidae","Decapoda","Malacostraca","Arthropoda",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cancer pagurus","Cncp",107276,107276,"Cancer pagurus","Cancer","Cancridae","Decapoda","Malacostraca","Arthropoda",250,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,35.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,1,8,180,3e+06,NA
"Capitella capitata","Cptc",129876,129876,"Capitella capitata","Capitella","Capitellidae","Capitellida","Polychaeta","Annelida",10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.5,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,600,250
