"","spp.abb","AphiaID","AphiaID_acc","Species","Genus","Family","Order","Class","Phylum","Body_Size.value","MovementMethod-burrower","MovementMethod-crawler","MovementMethod-floater","MovementMethod-motile","MovementMethod-permanent_attachment","MovementMethod-sessile","MovementMethod-swimmer","MovementMethod-temporary_attachment","MovementMethod-tube-dwelling","Feeding_Method-browser","Feeding_Method-deposit_feeder","Feeding_Method-filter_feeder","Feeding_Method-grazer","Feeding_Method-predator","Feeding_Method-scavenger","Feeding_Method-suspension_feeder","Sociability-colonial","Sociability-gregarious","Sociability-solitary","Sociability-sometimes_gregarious","Lifespan","Migration-irregular/single_migration","Migration-non-migratory","Migration-regular","Habitat-demersal","Habitat-epifaunal","Habitat-infaunal","Diet-benthic_organisms","Diet-detritus","Diet-macroalgae","Diet-micro-organisms","Diet-omnivore","Diet-plankton","Diet-sediment_particles","Diet-suspended_particles/material","Reproductive_Frequency-annual","Reproductive_Frequency-biannual","Reproductive_Frequency-semelparous","Larval_Feeding_Strategy-lecithotrophic","Larval_Feeding_Strategy-planktotrophic","Reproductive_Period-episodic","Reproductive_Period-protracted","Developmental_Mechanism-benthic_larval_development","Developmental_Mechanism-direct_development","Developmental_Mechanism-fission","Developmental_Mechanism-larval_development","Developmental_Mechanism-oviparous","Developmental_Mechanism-pelagic_larval_development","Reproductive_Timing-1","Reproductive_Timing-2","Reproductive_Timing-3","Reproductive_Timing-4","Reproductive_Timing-5","Reproductive_Timing-6","Reproductive_Timing-7","Reproductive_Timing-8","Reproductive_Timing-9","Reproductive_Timing-10","Reproductive_Timing-11","Reproductive_Timing-12","Age_at_Maturity.value","Larval_Duration.value","Fecundity.value","Size_of_Eggs.value"
"Carcinus maenas","Crcm",107381,107381,"Carcinus maenas","Carcinus","Portunidae","Decapoda","Malacostraca","Arthropoda",73,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,8,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,60,185000,NA
"Caryophyllia smithii","Crys",135144,135144,"Caryophyllia smithii","Caryophyllia","Caryophylliidae","Scleractinia","Anthozoa","Cnidaria",15,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,15.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,NA,180,NA,NA
"Cerastoderma edule","Crse",138998,138998,"Cerastoderma edule","Cerastoderma","Cardiidae","Veneroida","Bivalvia","Mollusca",5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,8,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1.5,NA,NA,100
"Cerianthus lloydii","Crnl",283798,283798,"Cerianthus lloydii","Cerianthus","Cerianthidae","Ceriantharia","Anthozoa","Cnidaria",150,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,15.5,0,1,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,NA,180,NA,250
"Chaetopterus variopedatus","Chtv",129914,129914,"Chaetopterus variopedatus","Chaetopterus","Chaetopteridae","Spionida","Polychaeta","Annelida",25,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,NA,0,1,0,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA
"Chaetozone setosa","Chts",129955,129955,"Chaetozone setosa","Chaetozone","Cirratulidae","Terebellida","Polychaeta","Annelida",2.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamelea gallina","Chmg",141907,141907,"Chamelea gallina","Chamelea","Veneridae","Veneroida","Bivalvia","Mollusca",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chthamalus montagui","Chtm",106230,106230,"Chthamalus montagui","Chthamalus","Chthamalidae","Sessilia","Maxillopoda","Arthropoda",10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,0,0,1,30,1800,NA
"Ciona intestinalis","Cnin",103732,103732,"Ciona intestinalis","Ciona","Cionidae","Phlebobranchia","Ascidiacea","Chordata",150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,10,NA,160
"Clavelina lepadiformis","Clvl",103552,103552,"Clavelina lepadiformis","Clavelina","Clavelinidae","Aplousobranchia","Ascidiacea","Chordata",1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.5,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,0,0,0,1,10,60,NA
"Colus gracilis","Clsg",138899,138899,"Colus gracilis","Colus","Buccinidae","Neogastropoda","Gastropoda","Mollusca",7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,60.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,NA,NA,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"Conopeum reticulum","Cnpr",111351,111351,"Conopeum reticulum","Conopeum","Electridae","Cheilostomatida","Gymnolaemata","Bryozoa",0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,0,0,1,180,NA,NA
"Corbula gibba","Crbg",139410,139410,"Corbula gibba","Corbula","Corbulidae","Myoida","Bivalvia","Mollusca",1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,0,NA,NA,NA,NA
"Corophium volutator","Crpv",102101,102101,"Corophium volutator","Corophium","Corophiidae","Amphipoda","Malacostraca","Arthropoda",8,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,NA,0,1,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"Corystes cassivelaunus","Cryc",107277,107277,"Corystes cassivelaunus","Corystes","Corystidae","Decapoda","Malacostraca","Arthropoda",7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,30,NA,0.5
"Crangon crangon","Crnc",107552,107552,"Crangon crangon","Crangon","Crangonidae","Decapoda","Malacostraca","Arthropoda",90,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,4,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,180,4500,430
"Crepidula fornicata","Crpf",138963,138963,"Crepidula fornicata","Crepidula","Calyptraeidae","Littorinimorpha","Gastropoda","Mollusca",50,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,0,0,NA,60,4000,NA
"Crossaster papposus","Crsp",124154,124154,"Crossaster papposus","Crossaster","Solasteridae","Valvatida","Asteroidea","Echinodermata",340,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,15.5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,60,NA,0.75
"Dendrodoa grossularia","Dndg",103882,103882,"Dendrodoa grossularia","Dendrodoa","Styelidae","Stolidobranchia","Ascidiacea","Chordata",2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1.5,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA,1,260,287
"Diastylis bradyi","Dstb",110472,110472,"Diastylis bradyi","Diastylis","Diastylidae","Cumacea","Malacostraca","Arthropoda",12,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,1,0,NA,NA,NA,0,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dichelopandalus bonnieri","Dchb",107643,107643,"Dichelopandalus bonnieri","Dichelopandalus","Pandalidae","Decapoda","Malacostraca","Arthropoda",160,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA
"Distomus variolosus","Dstv",103890,103890,"Distomus variolosus","Distomus","Styelidae","Stolidobranchia","Ascidiacea","Chordata",10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.5,NA,NA,NA,0,1,0,0,1,0,0,0,1,0,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,0,0,0,NA,1,4,0.6
"Ditrupa arietina","Dtra",130987,130987,"Ditrupa arietina","Ditrupa","Serpulidae","Sabellida","Polychaeta","Annelida",1.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.5,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,60,NA,NA
"Echinocardium cordatum","Echc",124392,124392,"Echinocardium cordatum","Echinocardium","Loveniidae","Spatangoida","Echinoidea","Echinodermata",9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,15.5,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,NA,NA,1e+06,NA
"Echinocyamus pusillus","Echp",124273,124273,"Echinocyamus pusillus","Echinocyamus","Echinocyamidae","Clypeasteroida","Echinoidea","Echinodermata",1.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,0,1,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,60,NA,224
"Echinus esculentus","Eche",124287,124287,"Echinus esculentus","Echinus","Echinidae","Camarodonta","Echinoidea","Echinodermata",17.6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,8,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1.5,60,2e+07,NA
"Electra pilosa","Elcp",111355,111355,"Electra pilosa","Electra","Electridae","Cheilostomatida","Gymnolaemata","Bryozoa",0.45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,30,145
"Escharella immersa","Esci",111484,111484,"Escharella immersa","Escharella","Romancheinidae","Cheilostomatida","Gymnolaemata","Bryozoa",NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eteone longa","Etnl",130616,130616,"Eteone longa","Eteone","Phyllodocidae","Phyllodocida","Polychaeta","Annelida",6,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA
"Eulalia mustela","Ellm",130631,130631,"Eulalia mustela","Eulalia","Phyllodocidae","Phyllodocida","Polychaeta","Annelida",20,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eunicella verrucosa","Encv",125366,125366,"Eunicella verrucosa","Eunicella","Gorgoniidae","Alcyonacea","Anthozoa","Cnidaria",35.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,60.5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurydice pulchra","Eryp",118852,118852,"Eurydice pulchra","Eurydice","Cirolanidae","Isopoda","Malacostraca","Arthropoda",0.8,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1.5,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,1,0,0,NA,NA,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA
"Eusyllis blomstrandi","Esyb",131290,131290,"Eusyllis blomstrandi","Eusyllis","Syllidae","Phyllodocida","Polychaeta","Annelida",12,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flustra foliacea","Flsf",111367,111367,"Flustra foliacea","Flustra","Flustridae","Cheilostomatida","Gymnolaemata","Bryozoa",10,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,8,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,NA,1,1,NA
"Funiculina quadrangularis","Fncq",128506,128506,"Funiculina quadrangularis","Funiculina","Funiculinidae","Pennatulacea","Anthozoa","Cnidaria",200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glycera alba","Glya",130116,130116,"Glycera alba","Glycera","Glyceridae","Phyllodocida","Polychaeta","Annelida",7.5,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glycera lapidum","Glyl",130123,130123,"Glycera lapidum","Glycera","Glyceridae","Phyllodocida","Polychaeta","Annelida",10,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goniada maculata","Gndm",130140,130140,"Goniada maculata","Goniada","Goniadidae","Phyllodocida","Polychaeta","Annelida",10,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halichondria bowerbanki","Hlcb",165801,165801,"Halichondria bowerbanki","Halichondria","Halichondriidae","Halichondrida","Demospongiae","Porifera",250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,NA,NA,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA
"Halichondria panicea","Hlcp",165853,165853,"Halichondria panicea","Halichondria","Halichondriidae","Halichondrida","Demospongiae","Porifera",350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA
"Hediste diversicolor","Hdsd",152302,152302,"Hediste diversicolor","Hediste","Nereididae","Phyllodocida","Polychaeta","Annelida",120,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,NA,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,NA,NA,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,NA,NA,NA,NA
"Henricia oculata","Hnro",123970,123970,"Henricia oculata","Henricia","Echinasteridae","Spinulosida","Asteroidea","Echinodermata",15.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,1000,NA
"Hesionura elongata","Hsne",130649,130649,"Hesionura elongata","Hesionura","Phyllodocidae","Phyllodocida","Polychaeta","Annelida",5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hiatella arctica","Htla",140103,140103,"Hiatella arctica","Hiatella","Hiatellidae","Euheterodonta","Bivalvia","Mollusca",4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homarus gammarus","Hmrg",107253,107253,"Homarus gammarus","Homarus","Nephropidae","Decapoda","Malacostraca","Arthropoda",35.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15.5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,0,0,8,30,1e+05,1.5
"Hyalinoecia tubicola","Hylt",130464,130464,"Hyalinoecia tubicola","Hyalinoecia","Onuphidae","Eunicida","Polychaeta","Annelida",12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hyas coarctatus","Hysc",107323,107323,"Hyas coarctatus","Hyas","Oregoniidae","Decapoda","Malacostraca","Arthropoda",6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrallmania falcata","Hydf",117890,117890,"Hydrallmania falcata","Hydrallmania","Sertulariidae","Leptothecata","Hydrozoa","Cnidaria",50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,140
"Peringia ulvae","Prnu",140126,151628,"Peringia ulvae","Hydrobia","Hydrobiidae","Littorinimorpha","Gastropoda","Mollusca",0.6,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1.5,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,1,0,0,1,30,50,NA
"Inachus dorsettensis","Incd",107327,107327,"Inachus dorsettensis","Inachus","Inachidae","Decapoda","Malacostraca","Arthropoda",30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,60,5000,NA
"Iphinoe trispinosa","Ipht",110462,110462,"Iphinoe trispinosa","Iphinoe","Bodotriidae","Cumacea","Malacostraca","Arthropoda",1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,0,1,0,NA,NA,NA,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,NA,NA,170
"Jassa falcata","Jssf",102431,102431,"Jassa falcata","Jassa","Ischyroceridae","Amphipoda","Malacostraca","Arthropoda",7,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,NA,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,NA,NA,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
