"","spp.abb","AphiaID","AphiaID_acc","Species","Genus","Family","Order","Class","Phylum","Body_Size.value","MovementMethod-burrower","MovementMethod-crawler","MovementMethod-floater","MovementMethod-motile","MovementMethod-permanent_attachment","MovementMethod-sessile","MovementMethod-swimmer","MovementMethod-temporary_attachment","MovementMethod-tube-dwelling","Feeding_Method-browser","Feeding_Method-deposit_feeder","Feeding_Method-filter_feeder","Feeding_Method-grazer","Feeding_Method-predator","Feeding_Method-scavenger","Feeding_Method-suspension_feeder","Sociability-colonial","Sociability-gregarious","Sociability-solitary","Sociability-sometimes_gregarious","Lifespan","Migration-irregular/single_migration","Migration-non-migratory","Migration-regular","Habitat-demersal","Habitat-epifaunal","Habitat-infaunal","Diet-benthic_organisms","Diet-detritus","Diet-macroalgae","Diet-micro-organisms","Diet-omnivore","Diet-plankton","Diet-sediment_particles","Diet-suspended_particles/material","Reproductive_Frequency-annual","Reproductive_Frequency-biannual","Reproductive_Frequency-semelparous","Larval_Feeding_Strategy-lecithotrophic","Larval_Feeding_Strategy-planktotrophic","Reproductive_Period-episodic","Reproductive_Period-protracted","Developmental_Mechanism-benthic_larval_development","Developmental_Mechanism-direct_development","Developmental_Mechanism-fission","Developmental_Mechanism-larval_development","Developmental_Mechanism-oviparous","Developmental_Mechanism-pelagic_larval_development","Reproductive_Timing-1","Reproductive_Timing-2","Reproductive_Timing-3","Reproductive_Timing-4","Reproductive_Timing-5","Reproductive_Timing-6","Reproductive_Timing-7","Reproductive_Timing-8","Reproductive_Timing-9","Reproductive_Timing-10","Reproductive_Timing-11","Reproductive_Timing-12","Age_at_Maturity.value","Larval_Duration.value","Fecundity.value","Size_of_Eggs.value"
"Laevicardium crassum","Lvcc",139004,139004,"Laevicardium crassum","Laevicardium","Cardiidae","Veneroida","Bivalvia","Mollusca",7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lanice conchilega","Lncc",131495,131495,"Lanice conchilega","Lanice","Terebellidae","Terebellida","Polychaeta","Annelida",30,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,NA,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,1,1,NA,NA,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,NA,60,NA,NA
"Liocarcinus depurator","Lcrd",107387,107387,"Liocarcinus depurator","Liocarcinus","Polybiidae","Decapoda","Malacostraca","Arthropoda",4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,NA,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,230000,NA
"Liocarcinus holsatus","Lcrh",107388,107388,"Liocarcinus holsatus","Liocarcinus","Polybiidae","Decapoda","Malacostraca","Arthropoda",3.7,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,8,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Liocarcinus marmoreus","Lcrm",107390,107390,"Liocarcinus marmoreus","Liocarcinus","Polybiidae","Decapoda","Malacostraca","Arthropoda",3.5,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Littorina littorea","Lttl",140262,140262,"Littorina littorea","Littorina","Littorinidae","Littorinimorpha","Gastropoda","Mollusca",32,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,4,30,1e+05,1
"Lucinoma borealis","Lcnb",140283,140283,"Lucinoma borealis","Lucinoma","Lucinidae","Lucinoida","Bivalvia","Mollusca",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luidia ciliaris","Ldcl",123920,123920,"Luidia ciliaris","Luidia","Luidiidae","Paxillosida","Asteroidea","Echinodermata",600,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,4,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"Macoma balthica","Mcmb",141579,141579,"Macoma balthica","Macoma","Tellinidae","Veneroida","Bivalvia","Mollusca",2.5,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,8,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,NA,180,50000,NA
"Macropipus tuberculatus","Mcrppt",107397,107397,"Macropipus tuberculatus","Macropipus","Polybiidae","Decapoda","Malacostraca","Arthropoda",56,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65000,NA
"Macropodia tenuirostris","Mcrpdt",107346,107346,"Macropodia tenuirostris","Macropodia","Inachidae","Decapoda","Malacostraca","Arthropoda",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA
"Mactra stultorum","Mcts",140299,140299,"Mactra stultorum","Mactra","Mactridae","Veneroida","Bivalvia","Mollusca",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Othomaera othonis","Otho",102821,534781,"Othomaera othonis","Maera","Maeridae","Amphipoda","Malacostraca","Arthropoda",15,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maerella tenuimana","Mrlt",102831,102831,"Maerella tenuimana","Maerella","Maeridae","Amphipoda","Malacostraca","Arthropoda",9,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maja squinado","Mjsq",107350,107350,"Maja squinado","Maja","Majidae","Decapoda","Malacostraca","Arthropoda",450,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,1,1,0,1.5,10,156000,NA
"Marphysa bellii","Mrpb",130072,130072,"Marphysa bellii","Marphysa","Eunicidae","Eunicida","Polychaeta","Annelida",20,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mediomastus fragilis","Mdmf",129892,129892,"Mediomastus fragilis","Mediomastus","Capitellidae","Capitellida","Polychaeta","Annelida",6.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Metridium senile","Mtrs",100982,100982,"Metridium senile","Metridium","Metridiidae","Actiniaria","Anthozoa","Cnidaria",500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,NA,180,NA,NA
"Modiolus modiolus","Mdlm",140467,140467,"Modiolus modiolus","Modiolus","Mytilidae","Mytiloida","Bivalvia","Mollusca",10,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,60.5,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,30,1e+06,NA
"Musculus discors","Mscd",140472,140472,"Musculus discors","Musculus","Mytilidae","Mytiloida","Bivalvia","Mollusca",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0,0,4,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,NA,NA,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300
"Mya arenaria","Myar",140430,140430,"Mya arenaria","Mya","Myidae","Myoida","Bivalvia","Mollusca",15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15.5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,5e+06,66
"Mytilus edulis","Myte",140480,140480,"Mytilus edulis","Mytilus","Mytilidae","Mytiloida","Bivalvia","Mollusca",20,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,NA,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1.5,180,NA,90
"Nephrops norvegicus","Nphn",107254,107254,"Nephrops norvegicus","Nephrops","Nephropidae","Decapoda","Malacostraca","Arthropoda",24,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,8,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,NA,60,NA,NA
"Nephtys caeca","Nphtyscc",130355,130355,"Nephtys caeca","Nephtys","Nephtyidae","Phyllodocida","Polychaeta","Annelida",250,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,NA
"Nephtys cirrosa","Nphtyscr",130357,130357,"Nephtys cirrosa","Nephtys","Nephtyidae","Phyllodocida","Polychaeta","Annelida",10,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,NA,0,1,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nephtys hombergii","Nphh",130359,130359,"Nephtys hombergii","Nephtys","Nephtyidae","Phyllodocida","Polychaeta","Annelida",20,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,60,NA,200
"Nephtys incisa","Nphi",130362,130362,"Nephtys incisa","Nephtys","Nephtyidae","Phyllodocida","Polychaeta","Annelida",6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neptunea antiqua","Npta",138920,138920,"Neptunea antiqua","Neptunea","Buccinidae","Neogastropoda","Gastropoda","Mollusca",20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,60.5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"Notomastus latericeus","Ntml",129898,129898,"Notomastus latericeus","Notomastus","Capitellidae","Capitellida","Polychaeta","Annelida",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
"Nucella lapillus","Ncll",140403,140403,"Nucella lapillus","Nucella","Muricidae","Neogastropoda","Gastropoda","Mollusca",4.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,NA,NA,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1.5,NA,NA,10
"Nucula nitidosa","Ncln",140589,140589,"Nucula nitidosa","Nucula","Nuculidae","Nuculida","Bivalvia","Mollusca",1.3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1.5,10,NA,150
"Nucula sulcata","Ncls",140592,140592,"Nucula sulcata","Nucula","Nuculidae","Nuculida","Bivalvia","Mollusca",20,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Obelia longissima","Obll",117389,117389,"Obelia longissima","Obelia","Campanulariidae","Leptothecata","Hydrozoa","Cnidaria",350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,NA,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,0,0,0,1,30,NA,200
"Ophelia borealis","Ophb",130491,130491,"Ophelia borealis","Ophelia","Opheliidae","Opheliida","Polychaeta","Annelida",5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophiothrix fragilis","Ophf",125131,125131,"Ophiothrix fragilis","Ophiothrix","Ophiotrichidae","Ophiurida","Ophiuroidea","Echinodermata",2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,8,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,30,NA,NA
"Ophiura albida","Opha",124913,124913,"Ophiura albida","Ophiura","Ophiuridae","Ophiurida","Ophiuroidea","Echinodermata",1.2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,4,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ophiura ophiura","Opho",124929,124929,"Ophiura ophiura","Ophiura","Ophiuridae","Ophiurida","Ophiuroidea","Echinodermata",3.5,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,8,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,NA,NA,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA
"Owenia fusiformis","Ownf",130544,130544,"Owenia fusiformis","Owenia","Oweniidae","Sabellida","Polychaeta","Annelida",10,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1.5,30,70000,100
"Pagurus bernhardus","Pgrb",107232,107232,"Pagurus bernhardus","Pagurus","Paguridae","Decapoda","Malacostraca","Arthropoda",35,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,30,15000,1
"Palinurus elephas","Plne",107703,107703,"Palinurus elephas","Palinurus","Palinuridae","Decapoda","Malacostraca","Arthropoda",500,0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,NA,180,NA,NA
"Patella ulyssiponensis","Ptlu",140684,140684,"Patella ulyssiponensis","Patella","Patellidae","Patellogastropoda","Gastropoda","Mollusca",6.5,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,15.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,0,0,4,10,NA,NA
"Patella vulgata","Ptlv",140685,140685,"Patella vulgata","Patella","Patellidae","Patellogastropoda","Gastropoda","Mollusca",60,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,15.5,NA,NA,NA,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,160
"Pecten maximus","Pctm",140712,140712,"Pecten maximus","Pecten","Pectinidae","Pectinoida","Bivalvia","Mollusca",150,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,15.5,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,0,0,0,NA,30,2.1e+07,NA
"Pentapora fascialis","Pntf",111082,111082,"Pentapora fascialis","Pentapora","Bitectiporidae","Cheilostomatida","Gymnolaemata","Bryozoa",150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,0,0,NA,1,NA,NA
"Phaxas pellucidus","Phxp",140737,140737,"Phaxas pellucidus","Phaxas","Pharidae","Euheterodonta","Bivalvia","Mollusca",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philine aperta","Phla",140744,140744,"Philine aperta","Philine","Philinidae","Cephalaspidea","Gastropoda","Mollusca",70,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,0,0,0,0,NA,180,50000,NA
"Phoronis muelleri","Phrm",128549,128549,"Phoronis muelleri","Phoronis","Phoronida","Phoronida","Phoronida","Phoronida",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA
"Photis longicaudata","Phtl",102383,102383,"Photis longicaudata","Photis","Photidae","Amphipoda","Malacostraca","Arthropoda",0.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pisidia longicornis","Psdl",107188,107188,"Pisidia longicornis","Pisidia","Porcellanidae","Decapoda","Malacostraca","Arthropoda",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,4,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,NA,60,NA,NA
"Pisione remota","Psnr",130707,130707,"Pisione remota","Pisione","Sigalionidae","Phyllodocida","Polychaeta","Annelida",10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poecilochaetus serpens","Pcls",130711,130711,"Poecilochaetus serpens","Poecilochaetus","Poecilochaetidae","Spionida","Polychaeta","Annelida",NA,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polydora ciliata","Plyc",131141,131141,"Polydora ciliata","Polydora","Spionidae","Spionida","Polychaeta","Annelida",3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,NA,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,0,0,0,1,60,1200,NA
"Spirobranchus triqueter","Sprt",131027,555935,"Spirobranchus triqueter","Pomatoceros","Serpulidae","Sabellida","Polychaeta","Annelida",1.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,NA,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30,NA,NA
